System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
23:57:26:827, 163480154889935,    0.101,   16.000, 2800,   5.232,   0.530,   0.147,   3.335,   0.338,   0.094, 40,  0,   0.591,   0.060,   0.017,   0.042,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
23:57:26:943, 163480477029708,    0.216,    8.000,  900,   2.601,   0.829,   0.230,   0.749,   0.424,   0.118, 40,  0,   0.666,   0.136,   0.038,   0.063,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
23:57:27:047, 163480769251946,    0.320,    6.000,  800,   2.351,   1.073,   0.298,   0.579,   0.484,   0.135, 39,  0,   0.639,   0.203,   0.056,   0.017,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
23:57:27:157, 163481079416449,    0.431,    3.000,  800,   1.936,   1.287,   0.358,   0.275,   0.515,   0.143, 39,  0,   0.582,   0.267,   0.074,   0.000,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
23:57:27:271, 163481398316619,    0.544,    6.000,  800,   2.157,   1.532,   0.426,   0.463,   0.567,   0.158, 40,  0,   0.602,   0.336,   0.093,   0.000,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
23:57:27:380, 163481703571650,    0.653,   14.000,  800,   2.851,   1.842,   0.512,   0.998,   0.676,   0.188, 39,  0,   0.690,   0.411,   0.114,   0.029,   0.016,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
23:57:27:487, 163482004801265,    0.760,   10.000,  800,   2.528,   2.113,   0.587,   0.708,   0.752,   0.209, 39,  0,   0.711,   0.487,   0.135,   0.007,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
23:57:27:597, 163482315016578,    0.871,   18.000,  900,   2.834,   2.426,   0.674,   0.952,   0.857,   0.238, 40,  0,   0.650,   0.559,   0.155,   0.060,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
23:57:27:705, 163482618996849,    0.979,    7.000,  800,   2.345,   2.680,   0.745,   0.588,   0.920,   0.256, 39,  0,   0.628,   0.627,   0.174,   0.019,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
23:57:27:816, 163482928658905,    1.089,    9.000,  800,   2.308,   2.935,   0.815,   0.578,   0.984,   0.273, 39,  0,   0.662,   0.700,   0.194,   0.000,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
23:57:27:925, 163483234044082,    1.198,   29.000,  900,   3.290,   3.293,   0.915,   1.435,   1.140,   0.317, 40,  0,   0.722,   0.778,   0.216,   0.021,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
23:57:28:033, 163483538234327,    1.306,   14.000,  800,   2.962,   3.614,   1.004,   1.015,   1.250,   0.347, 39,  0,   0.725,   0.857,   0.238,   0.102,   0.039,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,  450,   0.000
23:57:28:143, 163483847587184,    1.416,   13.000,  800,   2.768,   3.919,   1.088,   0.859,   1.345,   0.374, 39,  0,   0.762,   0.941,   0.261,   0.101,   0.050,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
23:57:28:250, 163484147146711,    1.523,   20.000,  900,   3.187,   4.259,   1.183,   1.276,   1.481,   0.411, 40,  0,   0.707,   1.016,   0.282,   0.041,   0.055,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,  450,   0.000
