System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:19:16:008,2.31954E+12,0.102,2,3500,4.874,0.498,0.138,2.898,0.296,0.082,44,0,0.649,0.066,0.018,0.085,0.009,0.002,45,60,0,0,0,0,0
16:19:16:118,2.31984E+12,0.212,3,3600,5.446,1.094,0.304,3.485,0.677,0.188,45,0,0.642,0.136,0.038,0.075,0.017,0.005,45,60,0,0,0,0,0
16:19:16:228,2.32015E+12,0.322,1,3600,3.927,1.526,0.424,1.995,0.897,0.249,44,0,0.606,0.203,0.056,0.043,0.022,0.006,45,60,0,0,0,0,0
16:19:16:340,2.32047E+12,0.433,7,3800,7.743,2.391,0.664,5.873,1.553,0.431,44,0,0.72,0.284,0.079,0,0.022,0.006,45,60,0,0,0,0,0
16:19:16:446,2.32077E+12,0.54,1,3600,3.643,2.779,0.772,1.781,1.742,0.484,44,0,0.572,0.344,0.096,0,0.022,0.006,45,60,0,0,0,0,0
16:19:16:559,2.32108E+12,0.653,1,3600,3.891,3.219,0.894,2.058,1.975,0.549,44,0,0.548,0.406,0.113,0,0.022,0.006,45,60,0,0,0,0,0
16:19:16:666,2.32138E+12,0.76,0,3600,2.969,3.536,0.982,1.128,2.096,0.582,44,0,0.544,0.465,0.129,0,0.022,0.006,45,60,0,0,0,0,0
16:19:16:773,2.32168E+12,0.866,1,3600,3.721,3.933,1.093,1.89,2.297,0.638,44,0,0.561,0.524,0.146,0,0.022,0.006,45,60,0,0,0,0,0
16:19:16:895,2.32203E+12,0.989,11,3800,3.769,4.395,1.221,1.947,2.536,0.704,52,0,0.552,0.592,0.164,0,0.022,0.006,45,60,0,0,0,0,0
16:19:16:996,2.32231E+12,1.09,0,3600,3.369,4.734,1.315,1.437,2.681,0.745,44,0,0.57,0.649,0.18,0.051,0.027,0.007,45,60,0,0,0,0,0
16:19:17:107,2.32262E+12,1.201,1,3600,4.315,5.214,1.448,2.448,2.953,0.82,44,0,0.598,0.716,0.199,0,0.027,0.007,45,60,0,0,0,0,0
16:19:17:210,2.32291E+12,1.304,0,3800,3.408,5.565,1.546,1.569,3.115,0.865,44,0,0.555,0.773,0.215,0,0.027,0.007,45,60,0,0,0,0,0
16:19:17:321,2.32322E+12,1.414,2,3600,4.749,6.09,1.692,2.881,3.433,0.954,46,0,0.614,0.841,0.234,0.039,0.031,0.009,45,60,0,0,0,0,0
16:19:17:430,2.32353E+12,1.523,5,3800,7.035,6.856,1.905,5.131,3.992,1.109,45,0,0.672,0.914,0.254,0.01,0.032,0.009,45,60,0,0,0,0,0
16:19:17:540,2.32384E+12,1.634,3,3600,5.141,7.428,2.063,3.256,4.354,1.209,44,0,0.652,0.987,0.274,0.058,0.039,0.011,45,60,0,0,0,0,0
16:19:17:649,2.32415E+12,1.744,3,3600,5.47,8.025,2.229,3.621,4.749,1.319,44,0,0.653,1.058,0.294,0.022,0.041,0.011,45,60,0,0,0,0,0
16:19:17:758,2.32445E+12,1.851,2,3600,5.22,8.587,2.385,3.257,5.1,1.417,45,0,0.666,1.13,0.314,0,0.041,0.011,45,60,0,0,0,0,0
16:19:17:868,2.32476E+12,1.962,11,3600,10.275,9.726,2.702,8.374,6.029,1.675,45,0,0.808,1.219,0.339,0,0.041,0.011,45,60,0,0,0,0,0
16:19:17:980,2.32507E+12,2.074,3,3600,6.025,10.399,2.889,4.096,6.486,1.802,45,0,0.634,1.29,0.358,0.031,0.044,0.012,45,60,0,0,0,0,0
16:19:18:089,2.32538E+12,2.182,2,3800,4.376,10.874,3.021,2.556,6.764,1.879,44,0,0.606,1.356,0.377,0,0.044,0.012,45,60,0,0,0,0,0
16:19:18:195,2.32568E+12,2.289,2,3600,4.64,11.37,3.158,2.75,7.057,1.96,44,0,0.627,1.423,0.395,0,0.044,0.012,45,60,0,0,0,0,0
16:19:18:307,2.32599E+12,2.4,3,3500,5.429,11.974,3.326,3.588,7.456,2.071,44,0,0.642,1.494,0.415,0,0.044,0.012,45,60,0,0,0,0,0
16:19:18:416,2.3263E+12,2.51,1,3600,4.112,12.425,3.451,2.245,7.703,2.14,44,0,0.581,1.558,0.433,0,0.044,0.012,45,60,0,0,0,0,0
16:19:18:523,2.3266E+12,2.617,1,3800,4.391,12.893,3.581,2.534,7.973,2.215,44,0,0.587,1.62,0.45,0,0.044,0.012,45,60,0,0,0,0,0
16:19:18:637,2.32692E+12,2.731,2,3600,4.945,13.457,3.738,3.074,8.324,2.312,45,0,0.606,1.69,0.469,0,0.044,0.012,45,60,0,0,0,0,0
16:19:18:742,2.32721E+12,2.836,1,3800,4.348,13.915,3.865,2.51,8.588,2.385,45,0,0.584,1.751,0.486,0,0.044,0.012,45,60,0,0,0,0,0
