System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:24:25:132, 3187558337676,    0.104,    9.000, 3500,  10.864,   1.133,   0.315,   8.592,   0.896,   0.249, 47,  0,   0.673,   0.070,   0.019,   0.347,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:24:25:241, 3187864029260,    0.213,    2.000, 3800,   4.902,   1.666,   0.463,   2.768,   1.197,   0.333, 46,  0,   0.655,   0.142,   0.039,   0.238,   0.062,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:24:25:356, 3188186682878,    0.328,    2.000, 3600,   4.845,   2.223,   0.618,   2.933,   1.534,   0.426, 46,  0,   0.630,   0.214,   0.059,   0.020,   0.064,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:24:25:461, 3188482326962,    0.433,    1.000, 3600,   3.817,   2.625,   0.729,   1.972,   1.742,   0.484, 45,  0,   0.576,   0.275,   0.076,   0.000,   0.064,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:24:25:572, 3188793087096,    0.544,    1.000, 3400,   3.670,   3.031,   0.842,   1.845,   1.946,   0.541, 51,  0,   0.572,   0.338,   0.094,   0.000,   0.064,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:24:25:684, 3189107333252,    0.656,    4.000, 3400,   5.742,   3.674,   1.020,   3.901,   2.383,   0.662, 51,  0,   0.633,   0.409,   0.114,   0.000,   0.064,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:24:25:793, 3189414519788,    0.765,   10.000, 3600,  11.371,   4.918,   1.366,   9.461,   3.417,   0.949, 46,  0,   0.692,   0.484,   0.135,   0.000,   0.064,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:24:25:908, 3189737732163,    0.880,   13.000, 3600,   6.123,   5.622,   1.562,   4.317,   3.914,   1.087, 57,  0,   0.607,   0.554,   0.154,   0.016,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:24:26:007, 3190013901479,    0.979,    5.000, 3600,   7.194,   6.330,   1.758,   5.099,   4.416,   1.227, 46,  0,   0.709,   0.624,   0.173,   0.100,   0.076,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:24:26:120, 3190330512558,    1.091,    2.000, 3600,   4.788,   6.870,   1.908,   2.846,   4.737,   1.316, 46,  0,   0.665,   0.699,   0.194,   0.070,   0.084,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:24:26:226, 3190629904536,    1.198,    3.000, 3400,   6.202,   7.531,   2.092,   4.325,   5.198,   1.444, 46,  0,   0.657,   0.769,   0.214,   0.014,   0.086,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:24:26:338, 3190944347727,    1.310,    2.000, 3600,   5.117,   8.104,   2.251,   3.233,   5.560,   1.544, 46,  0,   0.631,   0.840,   0.233,   0.000,   0.086,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:24:26:445, 3191245133540,    1.417,    2.000, 3500,   5.040,   8.644,   2.401,   3.197,   5.902,   1.640, 46,  0,   0.661,   0.911,   0.253,   0.000,   0.086,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:24:26:556, 3191555554494,    1.528,    4.000, 3500,   6.612,   9.375,   2.604,   4.722,   6.424,   1.785, 52,  0,   0.700,   0.988,   0.274,   0.000,   0.086,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:24:26:666, 3191867263251,    1.639,    3.000, 3500,   5.615,   9.998,   2.777,   3.724,   6.838,   1.899, 46,  0,   0.677,   1.063,   0.295,   0.000,   0.086,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:24:26:774, 3192167566863,    1.746,    1.000, 3800,   4.249,  10.453,   2.904,   2.370,   7.091,   1.970, 46,  0,   0.591,   1.126,   0.313,   0.000,   0.086,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:24:26:913, 3192557867671,    1.885,   33.000, 3500,   8.323,  11.610,   3.225,   6.288,   7.965,   2.213, 54,  0,   0.730,   1.228,   0.341,   0.160,   0.108,   0.030,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:24:26:996, 3192792084710,    1.968,   17.000, 3400,  16.143,  12.956,   3.599,  14.041,   9.137,   2.538, 54,  0,   0.787,   1.293,   0.359,   0.255,   0.129,   0.036,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:24:27:105, 3193097797220,    2.077,   15.000, 3500,  15.564,  14.651,   4.070,  13.616,  10.619,   2.950, 58,  0,   0.701,   1.370,   0.380,   0.056,   0.135,   0.038,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:24:27:212, 3193398199408,    2.184,    6.000, 3600,   8.690,  15.580,   4.328,   6.242,  11.287,   3.135, 47,  0,   0.737,   1.448,   0.402,   0.476,   0.186,   0.052,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:24:27:321, 3193703539177,    2.293,    2.000, 3600,   5.162,  16.142,   4.484,   3.298,  11.645,   3.235, 47,  0,   0.597,   1.513,   0.420,   0.000,   0.186,   0.052,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:24:27:430, 3194008639217,    2.401,    2.000, 3500,   5.187,  16.705,   4.640,   3.156,  11.988,   3.330, 47,  0,   0.629,   1.582,   0.439,   0.165,   0.204,   0.057,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:24:27:541, 3194320726106,    2.513,    4.000, 3500,   6.846,  17.466,   4.852,   4.870,  12.530,   3.480, 46,  0,   0.644,   1.653,   0.459,   0.091,   0.214,   0.059,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
