System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:14:06:166, 11558306708383,    0.105,    4.000, 3500,  13.313,   1.398,   0.388,   9.012,   0.946,   0.263, 56,  0,   0.747,   0.078,   0.022,   2.323,   0.244,   0.068,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:06:277, 11558616434118,    0.215,    1.000, 3600,   7.850,   2.263,   0.629,   3.968,   1.384,   0.384, 54,  0,   0.551,   0.139,   0.039,   2.058,   0.471,   0.131,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:06:387, 11558927541414,    0.326,    1.000, 3600,   8.235,   3.176,   0.882,   4.398,   1.871,   0.520, 54,  0,   0.549,   0.200,   0.056,   1.974,   0.690,   0.192,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:06:493, 11559225274945,    0.432,    0.000, 3600,   7.393,   3.960,   1.100,   3.580,   2.251,   0.625, 54,  0,   0.507,   0.254,   0.070,   1.966,   0.898,   0.249,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:06:606, 11559540380861,    0.544,    0.000, 3400,   7.185,   4.766,   1.324,   3.442,   2.637,   0.732, 58,  0,   0.523,   0.312,   0.087,   1.975,   1.120,   0.311,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:06:710, 11559836319153,    0.650,    0.000, 3600,   7.295,   5.535,   1.537,   3.397,   2.995,   0.832, 54,  0,   0.517,   0.367,   0.102,   1.982,   1.329,   0.369,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:06:826, 11560159119557,    0.765,    0.000, 3600,   6.681,   6.303,   1.751,   2.848,   3.322,   0.923, 54,  0,   0.509,   0.425,   0.118,   1.977,   1.556,   0.432,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:06:932, 11560458436645,    0.871,    0.000, 3600,   7.469,   7.099,   1.972,   3.696,   3.716,   1.032, 54,  0,   0.523,   0.481,   0.134,   1.973,   1.766,   0.491,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:07:039, 11560756717131,    0.977,    0.000, 3500,   7.021,   7.845,   2.179,   3.217,   4.058,   1.127, 53,  0,   0.523,   0.537,   0.149,   1.973,   1.976,   0.549,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:07:149, 11561066512680,    1.088,    5.000, 3600,   9.026,   8.841,   2.456,   5.134,   4.624,   1.285, 54,  0,   0.560,   0.599,   0.166,   2.005,   2.197,   0.610,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:07:259, 11561375384845,    1.198,    2.000, 3600,   8.609,   9.788,   2.719,   4.790,   5.151,   1.431, 54,  0,   0.537,   0.658,   0.183,   1.979,   2.415,   0.671,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:07:370, 11561686401437,    1.309,    0.000, 3800,   6.792,  10.540,   2.928,   2.965,   5.480,   1.522, 54,  0,   0.511,   0.714,   0.198,   1.975,   2.633,   0.732,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:07:482, 11562000326612,    1.420,    0.000, 3500,   6.623,  11.280,   3.133,   2.856,   5.799,   1.611, 54,  0,   0.502,   0.770,   0.214,   1.982,   2.855,   0.793,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:07:588, 11562299609787,    1.527,    1.000, 3500,   7.544,  12.084,   3.357,   3.715,   6.195,   1.721, 54,  0,   0.531,   0.827,   0.230,   1.971,   3.065,   0.851,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:07:697, 11562605032928,    1.636,    0.000, 3500,   6.986,  12.844,   3.568,   3.163,   6.539,   1.816, 54,  0,   0.514,   0.883,   0.245,   1.980,   3.280,   0.911,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:07:808, 11562916955319,    1.747,    0.000, 3500,   6.737,  13.593,   3.776,   2.916,   6.863,   1.906, 54,  0,   0.509,   0.939,   0.261,   1.972,   3.500,   0.972,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:07:918, 11563226427954,    1.857,    1.000, 3500,   7.360,  14.404,   4.001,   3.572,   7.257,   2.016, 54,  0,   0.529,   0.998,   0.277,   1.975,   3.717,   1.033,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:08:023, 11563519736110,    1.961,    3.000, 3600,   8.834,  15.327,   4.257,   4.964,   7.775,   2.160, 58,  0,   0.573,   1.057,   0.294,   1.978,   3.924,   1.090,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:08:134, 11563831505427,    2.072,    9.000, 3600,  18.688,  17.402,   4.834,  14.794,   9.418,   2.616, 59,  0,   0.643,   1.129,   0.314,   2.026,   4.149,   1.152,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:08:243, 11564138168478,    2.182,    1.000, 3600,   7.996,  18.275,   5.076,   4.168,   9.873,   2.742, 54,  0,   0.549,   1.189,   0.330,   1.983,   4.365,   1.213,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:08:356, 11564457013961,    2.295,    0.000, 3600,   7.150,  19.087,   5.302,   3.386,  10.258,   2.849, 54,  0,   0.510,   1.247,   0.346,   1.967,   4.589,   1.275,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:08:463, 11564756631207,    2.402,    1.000, 3600,   7.906,  19.930,   5.536,   4.069,  10.692,   2.970, 55,  0,   0.533,   1.304,   0.362,   1.965,   4.798,   1.333,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:08:572, 11565060982262,    2.510,    0.000, 3500,   6.961,  20.685,   5.746,   3.166,  11.035,   3.065, 54,  0,   0.507,   1.359,   0.377,   1.979,   5.013,   1.393,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:14:08:682, 11565371287576,    2.621,    0.000, 3800,   7.397,  21.502,   5.973,   3.562,  11.428,   3.175, 54,  0,   0.519,   1.416,   0.393,   1.970,   5.231,   1.453,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
