System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:06:53:024, 40675219501682,    0.102,   13.000, 2800,   5.023,   0.514,   0.143,   3.046,   0.311,   0.087, 36,  0,   0.694,   0.071,   0.020,   0.092,   0.009,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:06:53:138, 40675538792889,    0.216,    7.000,  800,   2.515,   0.800,   0.222,   0.656,   0.386,   0.107, 36,  0,   0.673,   0.148,   0.041,   0.062,   0.016,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:06:53:242, 40675832725747,    0.321,    5.000,  800,   2.132,   1.023,   0.284,   0.413,   0.429,   0.119, 35,  0,   0.610,   0.211,   0.059,   0.009,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:06:53:353, 40676142831292,    0.431,    3.000,  800,   1.945,   1.238,   0.344,   0.276,   0.460,   0.128, 36,  0,   0.587,   0.276,   0.077,   0.000,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:06:53:464, 40676454348415,    0.542,   13.000, 1500,   2.784,   1.547,   0.430,   0.985,   0.569,   0.158, 36,  0,   0.587,   0.341,   0.095,   0.036,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:06:53:569, 40676751338764,    0.648,    1.000,  800,   1.881,   1.745,   0.485,   0.223,   0.593,   0.165, 35,  0,   0.593,   0.404,   0.112,   0.014,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:06:53:682, 40677068620006,    0.761,    5.000,  800,   1.988,   1.970,   0.547,   0.367,   0.634,   0.176, 36,  0,   0.588,   0.471,   0.131,   0.000,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:06:53:789, 40677368359958,    0.868,   24.000,  900,   3.341,   2.327,   0.646,   1.499,   0.794,   0.221, 36,  0,   0.636,   0.538,   0.150,   0.000,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:06:53:904, 40677689733867,    0.982,   28.000,  900,   4.042,   2.789,   0.775,   2.155,   1.041,   0.289, 37,  0,   0.726,   0.622,   0.173,   0.000,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:06:54:013, 40677998047509,    1.092,   21.000,  900,   3.358,   3.158,   0.877,   1.527,   1.208,   0.336, 36,  0,   0.747,   0.704,   0.195,   0.000,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
