System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:40:53:883, 16079536128883,    0.096,    5.000, 3600,   7.149,   0.686,   0.190,   4.476,   0.429,   0.119, 48,  0,   0.762,   0.073,   0.020,   0.652,   0.063,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:53:997, 16079855526915,    0.210,    2.000, 3600,   4.799,   1.232,   0.342,   2.907,   0.760,   0.211, 47,  0,   0.608,   0.142,   0.040,   0.046,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:54:106, 16080161271069,    0.319,    2.000, 3600,   5.296,   1.808,   0.502,   3.360,   1.126,   0.313, 47,  0,   0.640,   0.212,   0.059,   0.036,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:54:216, 16080470276327,    0.429,    1.000, 3600,   3.577,   2.202,   0.612,   1.748,   1.318,   0.366, 46,  0,   0.563,   0.274,   0.076,   0.000,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:54:324, 16080772429767,    0.536,    2.000, 3600,   5.184,   2.760,   0.767,   3.313,   1.675,   0.465, 46,  0,   0.590,   0.338,   0.094,   0.000,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:54:432, 16081076763329,    0.645,    1.000, 3600,   4.036,   3.197,   0.888,   2.200,   1.913,   0.531, 46,  0,   0.561,   0.398,   0.111,   0.000,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:54:544, 16081391901590,    0.757,    0.000, 3600,   3.012,   3.535,   0.982,   1.164,   2.044,   0.568, 46,  0,   0.547,   0.460,   0.128,   0.000,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:54:649, 16081686460127,    0.862,    1.000, 3600,   3.361,   3.888,   1.080,   1.550,   2.206,   0.613, 46,  0,   0.556,   0.518,   0.144,   0.000,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:54:759, 16081995490292,    0.972,    6.000, 3600,   7.922,   4.760,   1.322,   5.929,   2.859,   0.794, 47,  0,   0.672,   0.592,   0.164,   0.094,   0.082,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:54:871, 16082309920326,    1.084,    3.000, 3600,   5.821,   5.412,   1.503,   3.987,   3.305,   0.918, 47,  0,   0.680,   0.668,   0.186,   0.023,   0.085,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:54:979, 16082613857046,    1.192,    2.000, 3600,   4.823,   5.934,   1.648,   2.821,   3.611,   1.003, 46,  0,   0.630,   0.736,   0.205,   0.039,   0.089,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:55:085, 16082910363602,    1.298,    2.000, 3600,   4.998,   6.461,   1.795,   3.222,   3.951,   1.097, 46,  0,   0.616,   0.801,   0.223,   0.000,   0.089,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:55:195, 16083220729395,    1.408,    5.000, 3600,   6.313,   7.159,   1.989,   4.359,   4.433,   1.231, 48,  0,   0.718,   0.881,   0.245,   0.000,   0.089,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:55:308, 16083536427685,    1.521,    2.000, 3600,   4.817,   7.701,   2.139,   2.968,   4.767,   1.324, 47,  0,   0.614,   0.950,   0.264,   0.000,   0.089,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:55:416, 16083841553272,    1.629,    2.000, 3500,   4.679,   8.209,   2.280,   2.811,   5.072,   1.409, 47,  0,   0.611,   1.016,   0.282,   0.000,   0.089,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:55:525, 16084145034345,    1.737,    2.000, 3600,   5.225,   8.774,   2.437,   3.364,   5.436,   1.510, 46,  0,   0.652,   1.087,   0.302,   0.000,   0.089,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:55:637, 16084461479509,    1.850,    2.000, 3600,   5.272,   9.368,   2.602,   3.393,   5.818,   1.616, 46,  0,   0.621,   1.157,   0.321,   0.000,   0.089,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:55:742, 16084753880799,    1.954,    6.000, 3600,   5.786,   9.971,   2.770,   3.860,   6.220,   1.728, 48,  0,   0.611,   1.220,   0.339,   0.074,   0.097,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:55:852, 16085064681144,    2.065,    1.000, 3500,   4.045,  10.418,   2.894,   2.243,   6.468,   1.797, 46,  0,   0.585,   1.285,   0.357,   0.000,   0.097,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:55:961, 16085370069707,    2.174,    9.000, 3400,   9.042,  11.402,   3.167,   7.161,   7.247,   2.013, 57,  0,   0.758,   1.367,   0.380,   0.027,   0.100,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:56:072, 16085682310383,    2.285,   13.000, 3500,  14.010,  12.960,   3.600,  11.839,   8.563,   2.379, 50,  0,   0.709,   1.446,   0.402,   0.280,   0.131,   0.036,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:56:181, 16085987763053,    2.394,   39.000, 3800,  21.867,  15.338,   4.261,  19.348,  10.668,   2.963, 60,  0,   1.276,   1.585,   0.440,   0.416,   0.176,   0.049,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:56:288, 16086289566855,    2.501,    2.000, 3600,   6.297,  16.015,   4.449,   4.448,  11.146,   3.096, 48,  0,   0.571,   1.646,   0.457,   0.000,   0.176,   0.049,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:56:401, 16086605614340,    2.614,    1.000, 3800,   4.008,  16.466,   4.574,   2.144,  11.387,   3.163, 47,  0,   0.576,   1.711,   0.475,   0.000,   0.176,   0.049,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:56:511, 16086913751606,    2.723,    1.000, 3600,   3.676,  16.870,   4.686,   1.842,  11.590,   3.219, 46,  0,   0.568,   1.773,   0.493,   0.000,   0.176,   0.049,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:40:56:621, 16087224040058,    2.834,    1.000, 3600,   3.711,  17.280,   4.800,   1.851,  11.794,   3.276, 46,  0,   0.561,   1.835,   0.510,   0.000,   0.176,   0.049,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
