System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:08:02:619, 40870641701625,    0.099,   18.000, 2800,   6.219,   0.615,   0.171,   4.205,   0.416,   0.116, 36,  0,   0.754,   0.075,   0.021,   0.080,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:02:727, 40870946025792,    0.207,    7.000,  900,   2.540,   0.890,   0.247,   0.676,   0.489,   0.136, 36,  0,   0.706,   0.151,   0.042,   0.097,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:02:837, 40871254470367,    0.317,    7.000,  900,   2.321,   1.145,   0.318,   0.564,   0.551,   0.153, 36,  0,   0.628,   0.220,   0.061,   0.013,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:02:947, 40871564142049,    0.427,    3.000,  900,   2.002,   1.366,   0.379,   0.334,   0.588,   0.163, 36,  0,   0.588,   0.285,   0.079,   0.000,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:03:057, 40871872633486,    0.537,   14.000,  900,   2.783,   1.672,   0.464,   0.968,   0.694,   0.193, 36,  0,   0.685,   0.360,   0.100,   0.016,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:03:166, 40872178333882,    0.646,   10.000,  900,   2.526,   1.947,   0.541,   0.738,   0.775,   0.215, 35,  0,   0.671,   0.433,   0.120,   0.019,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:03:273, 40872480941946,    0.754,   12.000,  900,   2.472,   2.213,   0.615,   0.689,   0.849,   0.236, 36,  0,   0.709,   0.510,   0.142,   0.011,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:03:384, 40872790120383,    0.864,    6.000,  900,   2.234,   2.459,   0.683,   0.526,   0.907,   0.252, 36,  0,   0.632,   0.579,   0.161,   0.000,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:03:491, 40873092689411,    0.972,   21.000,  900,   3.267,   2.811,   0.781,   1.370,   1.054,   0.293, 36,  0,   0.741,   0.659,   0.183,   0.044,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:03:606, 40873414327734,    1.086,    4.000,  900,   2.064,   3.048,   0.847,   0.387,   1.099,   0.305, 36,  0,   0.603,   0.728,   0.202,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:03:714, 40873718298953,    1.195,   14.000,  900,   2.550,   3.324,   0.923,   0.821,   1.188,   0.330, 36,  0,   0.650,   0.799,   0.222,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:03:821, 40874016991773,    1.301,    9.000,  900,   2.482,   3.588,   0.997,   0.720,   1.264,   0.351, 35,  0,   0.632,   0.866,   0.241,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:03:931, 40874326339343,    1.411,    8.000,  900,   2.330,   3.844,   1.068,   0.595,   1.330,   0.369, 36,  0,   0.665,   0.939,   0.261,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:04:044, 40874645179971,    1.525,    6.000,  900,   2.273,   4.103,   1.140,   0.549,   1.392,   0.387, 35,  0,   0.636,   1.011,   0.281,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:04:148, 40874936614183,    1.628,    8.000,  900,   2.455,   4.357,   1.210,   0.729,   1.468,   0.408, 35,  0,   0.603,   1.074,   0.298,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:04:258, 40875246445460,    1.739,    7.000,  900,   2.272,   4.608,   1.280,   0.546,   1.528,   0.424, 36,  0,   0.645,   1.145,   0.318,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:04:373, 40875567644511,    1.853,    5.000,  900,   2.117,   4.850,   1.347,   0.437,   1.578,   0.438, 36,  0,   0.608,   1.215,   0.337,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:04:480, 40875866881109,    1.960,   16.000, 1500,   3.009,   5.171,   1.436,   1.175,   1.703,   0.473, 35,  0,   0.655,   1.284,   0.357,   0.029,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:04:587, 40876169592292,    2.068,    3.000,  800,   2.128,   5.400,   1.500,   0.436,   1.750,   0.486, 35,  0,   0.609,   1.350,   0.375,   0.000,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:04:695, 40876471785790,    2.175,    6.000,  900,   2.261,   5.644,   1.568,   0.558,   1.810,   0.503, 35,  0,   0.603,   1.415,   0.393,   0.000,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:04:805, 40876781397606,    2.285,    8.000,  800,   2.424,   5.911,   1.642,   0.688,   1.886,   0.524, 35,  0,   0.629,   1.484,   0.412,   0.000,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:04:920, 40877104925489,    2.401,    4.000,  800,   2.075,   6.150,   1.708,   0.382,   1.930,   0.536, 35,  0,   0.605,   1.554,   0.432,   0.000,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:05:026, 40877400752281,    2.506,    4.000,  800,   2.084,   6.370,   1.769,   0.387,   1.971,   0.547, 35,  0,   0.610,   1.618,   0.450,   0.000,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:08:05:135, 40877706865193,    2.615,    7.000,  800,   2.350,   6.626,   1.840,   0.624,   2.039,   0.566, 35,  0,   0.596,   1.683,   0.468,   0.000,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
