System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:32:42:917, 14700901033213,    0.109,    2.000, 3600,   4.704,   0.514,   0.143,   2.722,   0.298,   0.083, 49,  0,   0.618,   0.068,   0.019,   0.034,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:43:024, 14701202112490,    0.217,    2.000, 3800,   5.584,   1.113,   0.309,   3.650,   0.689,   0.191, 49,  0,   0.635,   0.136,   0.038,   0.073,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:43:138, 14701521016292,    0.330,    1.000, 3600,   4.162,   1.586,   0.440,   2.317,   0.952,   0.264, 49,  0,   0.596,   0.203,   0.056,   0.008,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:43:241, 14701812154983,    0.434,    1.000, 3500,   4.360,   2.038,   0.566,   2.505,   1.212,   0.337, 49,  0,   0.586,   0.264,   0.073,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:43:354, 14702127182461,    0.546,    1.000, 3600,   3.787,   2.462,   0.684,   1.961,   1.432,   0.398, 49,  0,   0.564,   0.327,   0.091,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:43:466, 14702442223484,    0.658,    0.000, 3600,   3.171,   2.818,   0.783,   1.310,   1.579,   0.439, 48,  0,   0.548,   0.389,   0.108,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:43:573, 14702743536634,    0.765,    0.000, 3600,   3.062,   3.147,   0.874,   1.208,   1.708,   0.475, 49,  0,   0.549,   0.448,   0.124,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:43:685, 14703057113823,    0.877,    1.000, 3600,   3.925,   3.585,   0.996,   2.098,   1.943,   0.540, 49,  0,   0.566,   0.511,   0.142,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:43:791, 14703356851560,    0.984,    3.000, 3600,   6.345,   4.262,   1.184,   4.423,   2.415,   0.671, 50,  0,   0.627,   0.578,   0.161,   0.062,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:43:900, 14703661946029,    1.093,   13.000, 3500,  13.945,   5.777,   1.605,  11.634,   3.679,   1.022, 60,  0,   0.716,   0.656,   0.182,   0.416,   0.064,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:44:009, 14703968310720,    1.202,   10.000, 3600,  11.803,   7.065,   1.963,   9.656,   4.732,   1.315, 53,  0,   0.750,   0.738,   0.205,   0.236,   0.090,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:44:120, 14704280648508,    1.313,    2.000, 3800,   5.671,   7.696,   2.138,   3.675,   5.141,   1.428, 50,  0,   0.626,   0.807,   0.224,   0.139,   0.105,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:44:229, 14704586137455,    1.422,    3.000, 3600,   5.916,   8.340,   2.317,   4.041,   5.581,   1.550, 52,  0,   0.643,   0.877,   0.244,   0.000,   0.105,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:44:337, 14704889250198,    1.530,    3.000, 3800,   5.221,   8.903,   2.473,   3.331,   5.940,   1.650, 50,  0,   0.650,   0.947,   0.263,   0.000,   0.105,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:44:444, 14705190304094,    1.637,    1.000, 3600,   4.463,   9.382,   2.606,   2.624,   6.222,   1.728, 49,  0,   0.598,   1.011,   0.281,   0.000,   0.105,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:44:558, 14705509473814,    1.750,    2.000, 3600,   4.583,   9.903,   2.751,   2.718,   6.531,   1.814, 49,  0,   0.588,   1.078,   0.300,   0.000,   0.105,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:44:664, 14705806542356,    1.856,    1.000, 3600,   4.345,  10.362,   2.878,   2.602,   6.806,   1.891, 50,  0,   0.587,   1.140,   0.317,   0.000,   0.105,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:44:777, 14706124968961,    1.970,    5.000, 3600,   6.867,  11.141,   3.095,   4.689,   7.338,   2.038, 50,  0,   0.680,   1.217,   0.338,   0.196,   0.128,   0.035,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:44:882, 14706419749775,    2.075,    2.000, 3600,   4.958,  11.661,   3.239,   3.103,   7.663,   2.129, 49,  0,   0.596,   1.280,   0.356,   0.000,   0.128,   0.035,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:44:995, 14706735735598,    2.187,    1.000, 3800,   3.879,  12.098,   3.361,   2.116,   7.901,   2.195, 49,  0,   0.574,   1.345,   0.374,   0.000,   0.128,   0.035,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:45:102, 14707036134063,    2.294,    1.000, 3600,   4.373,  12.566,   3.490,   2.468,   8.165,   2.268, 49,  0,   0.590,   1.408,   0.391,   0.000,   0.128,   0.035,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:45:215, 14707354172080,    2.407,    2.000, 3800,   5.038,  13.136,   3.649,   3.178,   8.525,   2.368, 49,  0,   0.598,   1.475,   0.410,   0.000,   0.128,   0.035,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:45:325, 14707662978479,    2.517,    1.000, 3600,   3.861,  13.561,   3.767,   1.989,   8.744,   2.429, 49,  0,   0.577,   1.539,   0.427,   0.000,   0.128,   0.035,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:45:431, 14707960420432,    2.623,    1.000, 3600,   4.500,  14.038,   3.899,   2.652,   9.025,   2.507, 49,  0,   0.582,   1.601,   0.445,   0.000,   0.128,   0.035,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:45:543, 14708274272859,    2.735,    1.000, 3600,   3.779,  14.460,   4.017,   1.955,   9.244,   2.568, 49,  0,   0.561,   1.663,   0.462,   0.000,   0.128,   0.035,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:45:648, 14708569226372,    2.840,    0.000, 3600,   3.094,  14.785,   4.107,   1.351,   9.385,   2.607, 49,  0,   0.546,   1.721,   0.478,   0.000,   0.128,   0.035,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:45:762, 14708890061319,    2.954,    4.000, 3500,   5.883,  15.457,   4.294,   3.872,   9.828,   2.730, 54,  0,   0.598,   1.789,   0.497,   0.053,   0.134,   0.037,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:45:867, 14709184236936,    3.059,    1.000, 3800,   3.803,  15.856,   4.404,   1.989,  10.036,   2.788, 49,  0,   0.567,   1.848,   0.513,   0.000,   0.134,   0.037,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:45:980, 14709501387791,    3.172,   15.000, 3400,  14.171,  17.456,   4.849,  12.203,  11.415,   3.171, 57,  0,   0.803,   1.939,   0.539,   0.122,   0.147,   0.041,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:46:090, 14709812218899,    3.283,   11.000, 3600,  13.058,  18.902,   5.250,  10.698,  12.599,   3.500, 52,  0,   0.729,   2.020,   0.561,   0.383,   0.190,   0.053,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:46:199, 14710116169083,    3.391,    2.000, 3500,   4.226,  19.359,   5.377,   2.369,  12.855,   3.571, 50,  0,   0.594,   2.084,   0.579,   0.000,   0.190,   0.053,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:46:305, 14710414621959,    3.497,    4.000, 3600,   6.294,  20.028,   5.563,   4.376,  13.320,   3.700, 51,  0,   0.701,   2.159,   0.600,   0.000,   0.190,   0.053,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:46:418, 14710731501691,    3.610,    3.000, 3600,   5.948,  20.699,   5.750,   4.097,  13.783,   3.829, 50,  0,   0.654,   2.232,   0.620,   0.000,   0.190,   0.053,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:46:523, 14711027361282,    3.716,    1.000, 3600,   4.123,  21.134,   5.870,   2.273,  14.022,   3.895, 49,  0,   0.581,   2.294,   0.637,   0.000,   0.190,   0.053,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:46:635, 14711342543043,    3.828,    1.000, 3600,   4.269,  21.613,   6.004,   2.296,  14.280,   3.967, 49,  0,   0.609,   2.362,   0.656,   0.117,   0.203,   0.056,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:46:745, 14711650678667,    3.938,    5.000, 3600,   6.856,  22.365,   6.213,   4.789,  14.805,   4.113, 49,  0,   0.650,   2.433,   0.676,   0.187,   0.223,   0.062,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:46:851, 14711948114548,    4.043,    1.000, 3500,   4.172,  22.807,   6.335,   2.340,  15.053,   4.181, 49,  0,   0.579,   2.495,   0.693,   0.000,   0.223,   0.062,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:46:964, 14712265302677,    4.156,    2.000, 3800,   4.785,  23.348,   6.485,   2.856,  15.376,   4.271, 50,  0,   0.596,   2.562,   0.712,   0.059,   0.230,   0.064,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:47:075, 14712576828513,    4.267,    3.000, 3600,   5.382,  23.945,   6.651,   3.525,  15.767,   4.380, 49,  0,   0.589,   2.627,   0.730,   0.000,   0.230,   0.064,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:47:183, 14712881149413,    4.376,    0.000, 3800,   2.966,  24.266,   6.741,   1.139,  15.890,   4.414, 48,  0,   0.542,   2.686,   0.746,   0.000,   0.230,   0.064,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:47:292, 14713186439550,    4.484,    1.000, 3400,   3.325,  24.628,   6.841,   1.474,  16.051,   4.459, 49,  0,   0.552,   2.746,   0.763,   0.000,   0.230,   0.064,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:47:401, 14713493566343,    4.594,    1.000, 3800,   3.875,  25.051,   6.959,   2.065,  16.277,   4.521, 49,  0,   0.564,   2.808,   0.780,   0.000,   0.230,   0.064,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:47:507, 14713789799198,    4.699,    0.000, 3600,   3.251,  25.394,   7.054,   1.378,  16.422,   4.562, 49,  0,   0.553,   2.866,   0.796,   0.000,   0.230,   0.064,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:47:620, 14714106688125,    4.812,    1.000, 3600,   4.137,  25.861,   7.184,   2.251,  16.676,   4.632, 49,  0,   0.580,   2.931,   0.814,   0.059,   0.237,   0.066,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:47:730, 14714416775801,    4.923,    7.000, 3600,   4.899,  26.402,   7.334,   3.043,  17.012,   4.726, 51,  0,   0.562,   2.994,   0.832,   0.022,   0.239,   0.066,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:47:835, 14714712363374,    5.028,    0.000, 3600,   3.278,  26.747,   7.430,   1.411,  17.161,   4.767, 48,  0,   0.569,   3.053,   0.848,   0.020,   0.241,   0.067,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:32:47:949, 14715031660604,    5.142,    2.000, 3600,   5.413,  27.363,   7.601,   3.433,  17.551,   4.875, 49,  0,   0.627,   3.125,   0.868,   0.091,   0.252,   0.070,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
