System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:42:53:247, 16414710503995,    0.115,    4.000, 3800,   7.566,   0.873,   0.242,   5.122,   0.591,   0.164, 47,  0,   0.700,   0.081,   0.022,   0.433,   0.050,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:53:355, 16415012803793,    0.223,    2.000, 3600,   4.876,   1.397,   0.388,   2.899,   0.903,   0.251, 47,  0,   0.633,   0.149,   0.041,   0.126,   0.064,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:53:466, 16415323010414,    0.333,    1.000, 3800,   4.012,   1.841,   0.511,   2.123,   1.137,   0.316, 46,  0,   0.602,   0.215,   0.060,   0.019,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:53:573, 16415625281467,    0.441,    1.000, 3600,   4.340,   2.308,   0.641,   2.487,   1.405,   0.390, 46,  0,   0.577,   0.277,   0.077,   0.000,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:53:680, 16415924637649,    0.548,    0.000, 3600,   3.169,   2.646,   0.735,   1.317,   1.546,   0.429, 46,  0,   0.560,   0.337,   0.094,   0.000,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:53:788, 16416229287822,    0.656,    3.000, 3600,   6.924,   3.397,   0.944,   4.985,   2.086,   0.580, 46,  0,   0.663,   0.409,   0.114,   0.097,   0.076,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:53:899, 16416542047911,    0.768,    4.000, 3600,   5.999,   4.065,   1.129,   4.047,   2.537,   0.705, 47,  0,   0.701,   0.487,   0.135,   0.045,   0.081,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:54:012, 16416858694145,    0.880,    2.000, 3600,   4.966,   4.625,   1.285,   3.000,   2.876,   0.799, 46,  0,   0.660,   0.562,   0.156,   0.048,   0.087,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:54:121, 16417162222858,    0.988,    1.000, 3800,   4.162,   5.075,   1.410,   2.285,   3.122,   0.867, 46,  0,   0.593,   0.626,   0.174,   0.030,   0.090,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:54:231, 16417472833409,    1.099,    3.000, 3600,   5.441,   5.677,   1.577,   3.654,   3.527,   0.980, 46,  0,   0.631,   0.695,   0.193,   0.000,   0.090,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:54:337, 16417768891494,    1.205,    5.000, 3500,   7.250,   6.441,   1.789,   5.307,   4.086,   1.135, 48,  0,   0.695,   0.769,   0.214,   0.000,   0.090,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:54:451, 16418089653770,    1.319,    1.000, 3600,   4.200,   6.921,   1.922,   2.373,   4.357,   1.210, 46,  0,   0.589,   0.836,   0.232,   0.000,   0.090,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:54:555, 16418383390373,    1.423,    3.000, 3600,   5.767,   7.524,   2.090,   3.847,   4.760,   1.322, 46,  0,   0.644,   0.903,   0.251,   0.000,   0.090,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:54:666, 16418694530995,    1.534,    3.000, 3400,   5.260,   8.107,   2.252,   3.512,   5.149,   1.430, 46,  0,   0.653,   0.976,   0.271,   0.000,   0.090,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:54:778, 16419007686395,    1.646,    4.000, 3600,   6.848,   8.871,   2.464,   4.806,   5.685,   1.579, 49,  0,   0.654,   1.049,   0.291,   0.070,   0.098,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:54:888, 16419316737592,    1.756,    1.000, 3600,   4.130,   9.325,   2.590,   2.270,   5.935,   1.649, 46,  0,   0.573,   1.112,   0.309,   0.000,   0.098,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:54:992, 16419608427220,    1.860,    2.000, 3600,   4.793,   9.823,   2.729,   2.930,   6.239,   1.733, 47,  0,   0.611,   1.175,   0.326,   0.000,   0.098,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:55:106, 16419928714112,    1.974,    3.000, 3600,   6.153,  10.525,   2.924,   4.216,   6.720,   1.867, 46,  0,   0.673,   1.252,   0.348,   0.059,   0.104,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:55:212, 16420226845387,    2.080,    1.000, 3800,   4.616,  11.015,   3.060,   2.670,   7.003,   1.945, 46,  0,   0.608,   1.316,   0.366,   0.072,   0.112,   0.031,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:55:323, 16420538020312,    2.191,    1.000, 3600,   4.146,  11.474,   3.187,   2.250,   7.253,   2.015, 46,  0,   0.597,   1.383,   0.384,   0.037,   0.116,   0.032,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:55:432, 16420845368915,    2.300,    5.000, 3500,   7.487,  12.294,   3.415,   5.467,   7.851,   2.181, 47,  0,   0.723,   1.462,   0.406,   0.148,   0.133,   0.037,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:55:542, 16421152616355,    2.410,    3.000, 3500,   5.698,  12.917,   3.588,   3.680,   8.254,   2.293, 47,  0,   0.688,   1.537,   0.427,   0.091,   0.143,   0.040,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:55:649, 16421453728735,    2.517,    1.000, 3800,   4.406,  13.390,   3.719,   2.561,   8.529,   2.369, 46,  0,   0.600,   1.601,   0.445,   0.000,   0.143,   0.040,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:55:758, 16421760287108,    2.626,    4.000, 3600,   6.691,  14.120,   3.922,   4.791,   9.052,   2.514, 46,  0,   0.613,   1.668,   0.463,   0.036,   0.146,   0.041,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:55:870, 16422075142901,    2.738,   12.000, 3400,  11.073,  15.362,   4.267,   9.149,  10.078,   2.799, 55,  0,   0.775,   1.755,   0.488,   0.087,   0.156,   0.043,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:55:976, 16422372209960,    2.844,   14.000, 3500,  14.775,  16.925,   4.701,  12.683,  11.419,   3.172, 56,  0,   0.644,   1.823,   0.506,   0.185,   0.176,   0.049,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:56:088, 16422685895134,    2.956,    2.000, 3600,   5.745,  17.567,   4.880,   3.530,  11.814,   3.282, 47,  0,   0.671,   1.898,   0.527,   0.289,   0.208,   0.058,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:56:195, 16422987644934,    3.063,    1.000, 3500,   3.858,  17.982,   4.995,   2.027,  12.031,   3.342, 46,  0,   0.574,   1.960,   0.544,   0.000,   0.208,   0.058,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:56:309, 16423307400766,    3.177,    1.000, 3400,   4.121,  18.451,   5.125,   2.298,  12.293,   3.415, 47,  0,   0.579,   2.026,   0.563,   0.000,   0.208,   0.058,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:56:415, 16423605855118,    3.283,    1.000, 3500,   4.539,  18.933,   5.259,   2.632,  12.573,   3.492, 46,  0,   0.583,   2.088,   0.580,   0.000,   0.208,   0.058,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:56:528, 16423922421770,    3.396,    0.000, 3600,   3.467,  19.324,   5.368,   1.447,  12.736,   3.538, 46,  0,   0.582,   2.153,   0.598,   0.172,   0.227,   0.063,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:42:56:633, 16424216131167,    3.501,    1.000, 3500,   3.894,  19.731,   5.481,   2.032,  12.949,   3.597, 47,  0,   0.565,   2.213,   0.615,   0.000,   0.227,   0.063,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
