System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
23:55:56:049, 163225245513062,    0.107,   17.000,  900,   5.218,   0.559,   0.155,   3.332,   0.357,   0.099, 40,  0,   0.611,   0.065,   0.018,   0.041,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
23:55:56:156, 163225548854429,    0.215,   12.000,  800,   2.711,   0.851,   0.237,   0.835,   0.447,   0.124, 40,  0,   0.650,   0.136,   0.038,   0.076,   0.013,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
23:55:56:268, 163225860303360,    0.326,    8.000,  800,   2.499,   1.129,   0.314,   0.685,   0.523,   0.145, 40,  0,   0.649,   0.208,   0.058,   0.019,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
23:55:56:381, 163226177950928,    0.439,    3.000,  800,   1.936,   1.348,   0.374,   0.285,   0.555,   0.154, 40,  0,   0.581,   0.273,   0.076,   0.000,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
23:55:56:488, 163226480371685,    0.547,    2.000,  800,   1.812,   1.543,   0.429,   0.197,   0.576,   0.160, 39,  0,   0.559,   0.334,   0.093,   0.000,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
23:55:56:605, 163226807058754,    0.663,   26.000,  900,   3.327,   1.930,   0.536,   1.427,   0.742,   0.206, 40,  0,   0.684,   0.413,   0.115,   0.058,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
23:55:56:703, 163227082474463,    0.761,    8.000,  800,   2.492,   2.174,   0.604,   0.659,   0.807,   0.224, 40,  0,   0.727,   0.484,   0.135,   0.038,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
23:55:56:818, 163227406184448,    0.877,    5.000,  800,   2.205,   2.428,   0.675,   0.425,   0.856,   0.238, 40,  0,   0.637,   0.558,   0.155,   0.040,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
23:55:56:924, 163227702555453,    0.982,   11.000,  900,   2.687,   2.712,   0.753,   0.871,   0.948,   0.263, 40,  0,   0.604,   0.622,   0.173,   0.005,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
23:55:57:035, 163228014398898,    1.093,   15.000,  900,   2.866,   3.030,   0.842,   1.061,   1.066,   0.296, 40,  0,   0.640,   0.693,   0.192,   0.003,   0.031,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
