System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:14:26:792, 21731786444759,    0.112,    3.000, 3600,   6.239,   0.700,   0.194,   3.888,   0.436,   0.121, 44,  0,   0.684,   0.077,   0.021,   0.426,   0.048,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:26:902, 21732097112224,    0.223,    1.000, 3800,   4.666,   1.216,   0.338,   2.725,   0.737,   0.205, 43,  0,   0.608,   0.144,   0.040,   0.088,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:27:007, 21732391865131,    0.328,    2.000, 3600,   5.001,   1.741,   0.484,   3.109,   1.064,   0.296, 48,  0,   0.635,   0.211,   0.059,   0.010,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:27:122, 21732714224799,    0.443,    1.000, 3600,   4.170,   2.220,   0.617,   2.333,   1.332,   0.370, 42,  0,   0.575,   0.277,   0.077,   0.000,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:27:231, 21733019029759,    0.551,    1.000, 3600,   3.479,   2.597,   0.721,   1.639,   1.510,   0.419, 42,  0,   0.557,   0.337,   0.094,   0.000,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:27:341, 21733331821251,    0.663,   16.000, 3600,   4.888,   3.142,   0.873,   3.102,   1.855,   0.515, 53,  0,   0.570,   0.401,   0.111,   0.036,   0.063,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:27:446, 21733622902714,    0.766,    1.000, 3600,   3.598,   3.515,   0.976,   1.597,   2.021,   0.561, 43,  0,   0.579,   0.461,   0.128,   0.052,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:27:556, 21733933969840,    0.877,    0.000, 3600,   3.054,   3.853,   1.070,   1.218,   2.156,   0.599, 43,  0,   0.547,   0.521,   0.145,   0.000,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:27:668, 21734246084474,    0.988,    1.000, 3600,   3.762,   4.271,   1.186,   1.936,   2.371,   0.659, 42,  0,   0.564,   0.584,   0.162,   0.000,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:27:775, 21734547056228,    1.095,    0.000, 3600,   3.187,   4.613,   1.281,   1.430,   2.524,   0.701, 43,  0,   0.553,   0.643,   0.179,   0.000,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:27:884, 21734852646425,    1.204,    0.000, 3500,   3.370,   4.979,   1.383,   1.448,   2.682,   0.745, 42,  0,   0.544,   0.702,   0.195,   0.000,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:27:997, 21735169677847,    1.317,    1.000, 3800,   3.779,   5.406,   1.502,   1.936,   2.900,   0.806, 42,  0,   0.560,   0.766,   0.213,   0.000,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:28:106, 21735476736526,    1.426,    0.000, 3800,   3.145,   5.750,   1.597,   1.350,   3.048,   0.847, 42,  0,   0.556,   0.826,   0.230,   0.000,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:28:215, 21735783847074,    1.536,    1.000, 3800,   3.447,   6.127,   1.702,   1.577,   3.220,   0.895, 42,  0,   0.554,   0.887,   0.246,   0.000,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:28:340, 21736134877749,    1.661,   11.000, 3800,   5.301,   6.790,   1.886,   3.414,   3.647,   1.013, 48,  0,   0.563,   0.957,   0.266,   0.052,   0.075,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:28:435, 21736399874716,    1.755,    1.000, 3800,   3.592,   7.129,   1.980,   1.709,   3.808,   1.058, 42,  0,   0.581,   1.012,   0.281,   0.024,   0.077,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:28:539, 21736692384631,    1.859,    0.000, 3600,   2.999,   7.441,   2.067,   1.193,   3.933,   1.092, 42,  0,   0.546,   1.069,   0.297,   0.000,   0.077,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:28:652, 21737009624160,    1.972,    1.000, 3800,   3.739,   7.863,   2.184,   1.891,   4.146,   1.152, 42,  0,   0.561,   1.132,   0.315,   0.000,   0.077,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:28:760, 21737313200711,    2.080,    0.000, 3500,   2.859,   8.173,   2.270,   1.019,   4.256,   1.182, 42,  0,   0.544,   1.191,   0.331,   0.000,   0.077,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:28:870, 21737621712230,    2.190,    1.000, 3400,   3.693,   8.578,   2.383,   1.912,   4.467,   1.241, 48,  0,   0.561,   1.253,   0.348,   0.000,   0.077,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:28:979, 21737927503220,    2.299,    0.000, 3600,   3.074,   8.913,   2.476,   1.176,   4.595,   1.276, 42,  0,   0.544,   1.312,   0.364,   0.000,   0.077,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:29:091, 21738242513042,    2.411,    0.000, 3600,   3.153,   9.267,   2.574,   1.330,   4.744,   1.318, 42,  0,   0.557,   1.375,   0.382,   0.000,   0.077,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:29:195, 21738535965653,    2.516,    1.000, 3600,   4.172,   9.703,   2.695,   2.323,   4.987,   1.385, 44,  0,   0.568,   1.434,   0.398,   0.000,   0.077,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:29:309, 21738855173219,    2.630,    0.000, 3600,   2.769,  10.018,   2.783,   0.934,   5.093,   1.415, 42,  0,   0.539,   1.495,   0.415,   0.000,   0.077,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:29:418, 21739160561086,    2.738,    3.000, 3600,   4.944,  10.555,   2.932,   3.020,   5.421,   1.506, 43,  0,   0.589,   1.559,   0.433,   0.067,   0.084,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:29:526, 21739465049461,    2.847,    1.000, 3800,   3.963,  10.985,   3.051,   2.107,   5.650,   1.569, 42,  0,   0.571,   1.621,   0.450,   0.000,   0.084,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:29:637, 21739776360005,    2.958,    0.000, 3600,   3.006,  11.318,   3.144,   1.195,   5.782,   1.606, 42,  0,   0.542,   1.681,   0.467,   0.000,   0.084,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:29:745, 21740079595216,    3.066,    1.000, 3800,   4.302,  11.783,   3.273,   2.456,   6.047,   1.680, 42,  0,   0.594,   1.745,   0.485,   0.000,   0.084,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:29:852, 21740380444923,    3.173,    4.000, 3500,   6.442,  12.473,   3.465,   4.532,   6.533,   1.815, 50,  0,   0.631,   1.813,   0.504,   0.031,   0.087,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:29:961, 21740684908476,    3.281,    4.000, 3600,   6.667,  13.196,   3.666,   4.843,   7.058,   1.961, 44,  0,   0.660,   1.885,   0.523,   0.023,   0.090,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:30:072, 21740998325902,    3.393,    2.000, 3600,   4.658,  13.716,   3.810,   2.664,   7.356,   2.043, 42,  0,   0.639,   1.956,   0.543,   0.072,   0.098,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:30:180, 21741300127797,    3.500,    2.000, 3600,   5.145,  14.269,   3.964,   3.260,   7.706,   2.141, 42,  0,   0.616,   2.022,   0.562,   0.023,   0.100,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:30:292, 21741615837765,    3.613,    3.000, 3600,   5.527,  14.890,   4.136,   3.583,   8.109,   2.252, 43,  0,   0.662,   2.096,   0.582,   0.055,   0.107,   0.030,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:30:398, 21741913012526,    3.718,    4.000, 3500,   6.036,  15.529,   4.314,   4.123,   8.545,   2.374, 43,  0,   0.611,   2.161,   0.600,   0.096,   0.117,   0.032,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:30:511, 21742228937649,    3.831,    2.000, 3600,   5.413,  16.138,   4.483,   3.531,   8.942,   2.484, 43,  0,   0.622,   2.231,   0.620,   0.000,   0.117,   0.032,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:30:617, 21742527384030,    3.937,    3.000, 3600,   5.930,  16.768,   4.658,   4.141,   9.382,   2.606, 43,  0,   0.667,   2.302,   0.639,   0.000,   0.117,   0.032,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:30:730, 21742846662720,    4.051,    2.000, 3600,   5.100,  17.348,   4.819,   3.192,   9.745,   2.707, 44,  0,   0.609,   2.371,   0.659,   0.000,   0.117,   0.032,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:30:839, 21743151270556,    4.159,    1.000, 3800,   3.824,  17.763,   4.934,   1.975,   9.960,   2.767, 43,  0,   0.572,   2.433,   0.676,   0.000,   0.117,   0.032,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:30:949, 21743459984420,    4.269,   16.000, 3400,  14.817,  19.392,   5.387,  12.820,  11.369,   3.158, 53,  0,   0.843,   2.526,   0.702,   0.139,   0.132,   0.037,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:31:056, 21743761458695,    4.377,    5.000, 3800,   8.426,  20.297,   5.638,   6.053,  12.019,   3.339, 44,  0,   0.721,   2.603,   0.723,   0.381,   0.173,   0.048,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:31:167, 21744072654149,    4.488,    1.000, 3600,   4.106,  20.752,   5.764,   2.256,  12.269,   3.408, 43,  0,   0.579,   2.668,   0.741,   0.000,   0.173,   0.048,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:31:275, 21744374849506,    4.595,    1.000, 3600,   3.824,  21.163,   5.879,   1.996,  12.484,   3.468, 42,  0,   0.569,   2.729,   0.758,   0.000,   0.173,   0.048,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:14:31:386, 21744686011215,    4.706,    6.000, 3600,   6.745,  21.911,   6.086,   4.638,  12.998,   3.611, 43,  0,   0.660,   2.802,   0.778,   0.236,   0.199,   0.055,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
