System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:10:43:150, 21103800883701,    0.100,    2.000, 3600,   5.169,   0.517,   0.144,   2.846,   0.285,   0.079, 43,  0,   0.671,   0.067,   0.019,   0.433,   0.043,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:10:43:258, 21104103686025,    0.208,    2.000, 3600,   4.955,   1.051,   0.292,   3.090,   0.618,   0.172, 44,  0,   0.606,   0.132,   0.037,   0.043,   0.048,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:10:43:368, 21104412497463,    0.318,    5.000, 3800,   6.342,   1.749,   0.486,   4.370,   1.098,   0.305, 43,  0,   0.627,   0.201,   0.056,   0.103,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:10:43:478, 21104720437120,    0.427,    1.000, 3600,   3.812,   2.167,   0.602,   1.945,   1.312,   0.364, 43,  0,   0.584,   0.265,   0.074,   0.000,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:10:43:587, 21105026007585,    0.536,    1.000, 3600,   3.812,   2.582,   0.717,   1.987,   1.528,   0.424, 43,  0,   0.561,   0.327,   0.091,   0.000,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:10:43:695, 21105331129686,    0.645,    1.000, 3500,   3.705,   2.984,   0.829,   1.967,   1.742,   0.484, 43,  0,   0.568,   0.388,   0.108,   0.000,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:10:43:805, 21105638947801,    0.755,    7.000, 3400,   9.551,   4.031,   1.120,   7.192,   2.530,   0.703, 53,  0,   0.758,   0.471,   0.131,   0.428,   0.106,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:10:43:914, 21105944932480,    0.864,    7.000, 3600,   9.239,   5.038,   1.399,   6.893,   3.281,   0.911, 44,  0,   0.716,   0.549,   0.153,   0.372,   0.147,   0.041,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:10:44:027, 21106261742522,    0.976,    1.000, 3600,   4.530,   5.549,   1.541,   2.554,   3.569,   0.991, 43,  0,   0.632,   0.621,   0.172,   0.095,   0.157,   0.044,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:10:44:134, 21106562427201,    1.083,    2.000, 3500,   4.854,   6.069,   1.686,   3.013,   3.892,   1.081, 43,  0,   0.609,   0.686,   0.191,   0.000,   0.157,   0.044,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:10:44:245, 21106875734988,    1.195,    2.000, 3600,   4.683,   6.591,   1.831,   2.796,   4.204,   1.168, 43,  0,   0.649,   0.758,   0.211,   0.000,   0.157,   0.044,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:10:44:352, 21107175356761,    1.302,    8.000, 3600,   5.900,   7.221,   2.006,   4.050,   4.636,   1.288, 44,  0,   0.584,   0.821,   0.228,   0.029,   0.160,   0.045,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:10:44:461, 21107482608591,    1.411,    2.000, 3500,   4.988,   7.767,   2.157,   3.080,   4.973,   1.381, 44,  0,   0.620,   0.888,   0.247,   0.042,   0.165,   0.046,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:10:44:574, 21107799177825,    1.524,    3.000, 3600,   4.843,   8.313,   2.309,   2.993,   5.310,   1.475, 44,  0,   0.644,   0.961,   0.267,   0.000,   0.165,   0.046,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:10:44:679, 21108095830405,    1.630,    2.000, 3600,   4.688,   8.808,   2.447,   2.869,   5.614,   1.559, 43,  0,   0.646,   1.029,   0.286,   0.000,   0.165,   0.046,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:10:44:788, 21108400178483,    1.738,    3.000, 3600,   5.944,   9.452,   2.626,   4.046,   6.052,   1.681, 43,  0,   0.618,   1.096,   0.305,   0.000,   0.165,   0.046,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:10:44:904, 21108724102110,    1.853,    1.000, 3800,   3.758,   9.886,   2.746,   1.895,   6.271,   1.742, 43,  0,   0.578,   1.163,   0.323,   0.000,   0.165,   0.046,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:10:45:011, 21109027799442,    1.961,    2.000, 3600,   4.843,  10.410,   2.892,   3.026,   6.598,   1.833, 43,  0,   0.634,   1.232,   0.342,   0.000,   0.165,   0.046,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
