System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:49:40:835, 17559216932214,    0.106,    6.000, 3500,   8.012,   0.853,   0.237,   6.201,   0.660,   0.183, 58,  0,   0.701,   0.075,   0.021,   0.053,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:49:40:950, 17559539552682,    0.221,   36.000, 3600,  19.995,   3.150,   0.875,  17.802,   2.706,   0.752, 48,  0,   1.089,   0.200,   0.055,   0.078,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:49:41:058, 17559842641922,    0.329,    2.000, 3600,   5.369,   3.730,   1.036,   3.501,   3.084,   0.857, 46,  0,   0.624,   0.267,   0.074,   0.028,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:49:41:167, 17560148817953,    0.438,    1.000, 3600,   3.695,   4.133,   1.148,   1.818,   3.282,   0.912, 45,  0,   0.564,   0.329,   0.091,   0.000,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:49:41:277, 17560457881843,    0.548,    0.000, 3600,   2.959,   4.458,   1.238,   1.118,   3.405,   0.946, 45,  0,   0.546,   0.389,   0.108,   0.000,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:49:41:384, 17560760217095,    0.656,    4.000, 3600,   5.883,   5.092,   1.414,   4.027,   3.839,   1.066, 47,  0,   0.649,   0.458,   0.127,   0.000,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:49:41:498, 17561078489593,    0.769,   10.000, 3400,  11.408,   6.385,   1.774,   9.277,   4.890,   1.358, 55,  0,   0.751,   0.544,   0.151,   0.272,   0.048,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:49:41:605, 17561378470155,    0.876,   12.000, 3500,  13.795,   7.859,   2.183,  11.252,   6.092,   1.692, 52,  0,   0.786,   0.628,   0.174,   0.588,   0.111,   0.031,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:49:41:715, 17561688538048,    0.987,   26.000, 3500,  15.237,   9.541,   2.650,  12.728,   7.497,   2.083, 58,  0,   0.776,   0.713,   0.198,   0.537,   0.171,   0.047,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:49:41:826, 17561998413444,    1.097,   14.000, 3500,  14.903,  11.186,   3.107,  12.699,   8.899,   2.472, 56,  0,   0.784,   0.800,   0.222,   0.330,   0.207,   0.057,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:49:41:929, 17562290925074,    1.201,   12.000, 3600,  13.601,  12.603,   3.501,  11.419,  10.088,   2.802, 51,  0,   0.725,   0.875,   0.243,   0.313,   0.240,   0.067,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:49:42:045, 17562614960386,    1.317,    4.000, 3600,   7.417,  13.459,   3.738,   5.231,  10.692,   2.970, 47,  0,   0.682,   0.954,   0.265,   0.271,   0.271,   0.075,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
