System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:11:25:636, 41440715093137,    0.108,   16.000, 2800,   5.146,   0.555,   0.154,   3.186,   0.344,   0.096, 37,  0,   0.615,   0.066,   0.018,   0.035,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:11:25:742, 41441012155049,    0.214,    4.000,  800,   3.097,   0.883,   0.245,   1.228,   0.474,   0.132, 35,  0,   0.700,   0.140,   0.039,   0.096,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:11:25:855, 41441329692805,    0.327,    5.000,  800,   2.188,   1.130,   0.314,   0.418,   0.521,   0.145, 35,  0,   0.647,   0.214,   0.059,   0.026,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:11:25:966, 41441642240019,    0.438,    7.000,  800,   2.136,   1.368,   0.380,   0.461,   0.572,   0.159, 35,  0,   0.609,   0.281,   0.078,   0.000,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:11:26:073, 41441940614186,    0.544,   15.000,  800,   2.829,   1.669,   0.464,   0.964,   0.675,   0.187, 35,  0,   0.704,   0.356,   0.099,   0.042,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:11:26:180, 41442243289730,    0.652,    8.000,  800,   2.384,   1.926,   0.535,   0.600,   0.740,   0.205, 36,  0,   0.687,   0.430,   0.119,   0.008,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:11:26:290, 41442550562312,    0.762,    4.000,  800,   1.997,   2.144,   0.596,   0.281,   0.770,   0.214, 35,  0,   0.624,   0.498,   0.138,   0.006,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:11:26:458, 41443022306017,    0.930,   19.000, 1500,   2.775,   2.611,   0.725,   0.971,   0.933,   0.259, 36,  0,   0.635,   0.605,   0.168,   0.035,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:11:26:510, 41443169982987,    0.982,    7.000, 1500,   2.962,   2.766,   0.768,   1.120,   0.992,   0.276, 36,  0,   0.745,   0.644,   0.179,   0.009,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:11:26:619, 41443474791385,    1.091,    5.000,  800,   2.164,   3.001,   0.834,   0.487,   1.045,   0.290, 35,  0,   0.622,   0.712,   0.198,   0.000,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:11:26:731, 41443789700791,    1.203,    6.000,  800,   2.273,   3.256,   0.904,   0.555,   1.107,   0.308, 35,  0,   0.594,   0.778,   0.216,   0.000,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:11:26:840, 41444096682522,    1.312,    9.000,  800,   2.414,   3.520,   0.978,   0.658,   1.179,   0.328, 35,  0,   0.662,   0.851,   0.236,   0.000,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:11:26:947, 41444395584508,    1.419,    7.000,  800,   2.276,   3.762,   1.045,   0.492,   1.232,   0.342, 35,  0,   0.663,   0.921,   0.256,   0.049,   0.034,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
