System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:09:46:964, 20946030989251,    0.106,    2.000, 3600,   5.588,   0.590,   0.164,   3.261,   0.344,   0.096, 45,  0,   0.677,   0.072,   0.020,   0.365,   0.039,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:47:074, 20946338115045,    0.215,    2.000, 3600,   4.866,   1.122,   0.312,   2.981,   0.670,   0.186, 44,  0,   0.632,   0.141,   0.039,   0.050,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:47:185, 20946648677229,    0.326,    2.000, 3800,   5.383,   1.718,   0.477,   3.436,   1.050,   0.292, 44,  0,   0.627,   0.210,   0.058,   0.045,   0.049,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:47:288, 20946940534522,    0.430,    1.000, 3600,   3.771,   2.110,   0.586,   1.924,   1.250,   0.347, 43,  0,   0.578,   0.270,   0.075,   0.000,   0.049,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:47:400, 20947254106292,    0.541,    3.000, 3600,   4.961,   2.664,   0.740,   3.048,   1.591,   0.442, 43,  0,   0.579,   0.335,   0.093,   0.102,   0.060,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:47:511, 20947566199229,    0.652,    1.000, 3600,   3.789,   3.085,   0.857,   1.921,   1.804,   0.501, 44,  0,   0.568,   0.398,   0.111,   0.000,   0.060,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:47:617, 20947864538568,    0.759,    0.000, 3800,   3.184,   3.423,   0.951,   1.338,   1.947,   0.541, 43,  0,   0.553,   0.457,   0.127,   0.000,   0.060,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:47:731, 20948183981496,    0.872,    0.000, 3600,   3.091,   3.775,   1.049,   1.290,   2.093,   0.581, 43,  0,   0.548,   0.519,   0.144,   0.000,   0.060,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:47:839, 20948487574768,    0.980,    1.000, 3800,   3.926,   4.199,   1.166,   2.056,   2.316,   0.643, 43,  0,   0.567,   0.580,   0.161,   0.000,   0.060,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:47:949, 20948796008000,    1.090,    0.000, 3600,   3.232,   4.554,   1.265,   1.418,   2.471,   0.686, 43,  0,   0.552,   0.641,   0.178,   0.000,   0.060,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:48:059, 20949104700600,    1.200,    1.000, 3600,   3.331,   4.920,   1.367,   1.472,   2.633,   0.731, 43,  0,   0.566,   0.703,   0.195,   0.000,   0.060,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:48:166, 20949405634026,    1.307,    1.000, 3600,   4.159,   5.366,   1.491,   2.321,   2.882,   0.801, 43,  0,   0.568,   0.764,   0.212,   0.000,   0.060,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:48:274, 20949707987270,    1.415,    0.000, 3600,   3.238,   5.715,   1.587,   1.398,   3.032,   0.842, 43,  0,   0.559,   0.824,   0.229,   0.000,   0.060,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:48:383, 20950014875829,    1.524,    4.000, 3600,   5.782,   6.347,   1.763,   3.895,   3.458,   0.961, 46,  0,   0.589,   0.889,   0.247,   0.070,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:48:492, 20950320684696,    1.633,    0.000, 3800,   3.239,   6.699,   1.861,   1.393,   3.610,   1.003, 44,  0,   0.554,   0.949,   0.264,   0.000,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:48:605, 20950638454949,    1.746,    1.000, 3600,   3.565,   7.103,   1.973,   1.687,   3.801,   1.056, 43,  0,   0.571,   1.014,   0.282,   0.000,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:48:713, 20950940544203,    1.854,    3.000, 3500,   5.437,   7.688,   2.136,   3.569,   4.185,   1.162, 44,  0,   0.626,   1.081,   0.300,   0.023,   0.071,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:48:821, 20951242985574,    1.962,    2.000, 3500,   4.827,   8.208,   2.280,   2.942,   4.502,   1.250, 44,  0,   0.648,   1.151,   0.320,   0.014,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:48:931, 20951553560823,    2.072,    2.000, 3600,   4.866,   8.746,   2.429,   2.977,   4.831,   1.342, 43,  0,   0.622,   1.220,   0.339,   0.038,   0.076,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:49:039, 20951857656794,    2.181,    2.000, 3600,   5.169,   9.306,   2.585,   3.286,   5.187,   1.441, 43,  0,   0.635,   1.288,   0.358,   0.012,   0.078,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:49:150, 20952167450768,    2.291,    1.000, 3600,   4.228,   9.772,   2.714,   2.383,   5.450,   1.514, 43,  0,   0.582,   1.353,   0.376,   0.000,   0.078,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:49:263, 20952483880588,    2.404,    1.000, 3600,   4.217,  10.247,   2.846,   2.360,   5.716,   1.588, 44,  0,   0.595,   1.420,   0.394,   0.000,   0.078,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:49:367, 20952776881556,    2.508,    5.000, 3600,   6.437,  10.919,   3.033,   4.548,   6.190,   1.719, 44,  0,   0.618,   1.484,   0.412,   0.064,   0.084,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:49:478, 20953088990360,    2.619,    1.000, 3600,   3.381,  11.295,   3.137,   1.526,   6.360,   1.767, 43,  0,   0.577,   1.548,   0.430,   0.000,   0.084,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:49:590, 20953402435507,    2.731,    0.000, 3800,   2.955,  11.625,   3.229,   1.093,   6.482,   1.800, 43,  0,   0.553,   1.610,   0.447,   0.000,   0.084,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:49:697, 20953702584269,    2.838,    1.000, 3500,   3.767,  12.027,   3.341,   1.932,   6.688,   1.858, 43,  0,   0.565,   1.670,   0.464,   0.000,   0.084,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:09:49:810, 20954020669191,    2.951,    0.000, 3800,   3.187,  12.388,   3.441,   1.356,   6.842,   1.900, 43,  0,   0.552,   1.733,   0.481,   0.000,   0.084,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
