System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:45:45:964, 6784136545008,    0.107,    7.000, 3800,   9.634,   1.036,   0.288,   7.321,   0.787,   0.219, 50,  0,   0.653,   0.070,   0.019,   0.285,   0.031,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:45:46:077, 6784452006423,    0.220,    2.000, 3600,   5.265,   1.627,   0.452,   3.158,   1.142,   0.317, 50,  0,   0.674,   0.146,   0.041,   0.221,   0.055,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:45:46:181, 6784745107372,    0.324,    2.000, 3600,   4.990,   2.148,   0.597,   3.096,   1.465,   0.407, 50,  0,   0.619,   0.211,   0.058,   0.027,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:45:46:294, 6785062281445,    0.437,    1.000, 3600,   3.578,   2.552,   0.709,   1.741,   1.661,   0.462, 48,  0,   0.561,   0.274,   0.076,   0.000,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:45:46:398, 6785353762853,    0.541,    0.000, 3800,   2.936,   2.857,   0.794,   1.109,   1.777,   0.493, 48,  0,   0.539,   0.330,   0.092,   0.000,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:45:46:512, 6785675747604,    0.656,    4.000, 3600,   4.853,   3.413,   0.948,   2.989,   2.119,   0.589, 48,  0,   0.626,   0.402,   0.112,   0.000,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:45:46:621, 6785981289162,    0.764,    0.000, 3800,   3.521,   3.796,   1.055,   1.670,   2.301,   0.639, 48,  0,   0.574,   0.464,   0.129,   0.000,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:45:46:741, 6786318934604,    0.885,   11.000, 3600,   4.163,   4.297,   1.194,   2.389,   2.588,   0.719, 58,  0,   0.546,   0.530,   0.147,   0.000,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:45:46:837, 6786588019536,    0.981,    1.000, 3800,   4.218,   4.701,   1.306,   2.242,   2.803,   0.779, 48,  0,   0.592,   0.587,   0.163,   0.059,   0.064,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:45:46:945, 6786891546471,    1.089,    0.000, 3500,   2.937,   5.019,   1.394,   1.106,   2.923,   0.812, 48,  0,   0.544,   0.645,   0.179,   0.000,   0.064,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:45:47:054, 6787196510768,    1.197,    0.000, 3800,   3.406,   5.388,   1.497,   1.562,   3.092,   0.859, 48,  0,   0.568,   0.707,   0.196,   0.000,   0.064,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
16:45:47:168, 6787515566699,    1.311,    2.000, 3600,   5.157,   5.974,   1.660,   3.344,   3.472,   0.965, 49,  0,   0.605,   0.776,   0.216,   0.000,   0.064,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
