System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:35:00:024, 35303513076133,    0.105,   20.000, 2800,   6.568,   0.691,   0.192,   4.610,   0.485,   0.135, 38,  0,   0.728,   0.077,   0.021,   0.041,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:35:00:136, 35303825742654,    0.217,    7.000,  900,   3.389,   1.068,   0.297,   1.459,   0.647,   0.180, 36,  0,   0.712,   0.156,   0.043,   0.113,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:35:00:242, 35304125460679,    0.323,    7.000,  900,   2.397,   1.324,   0.368,   0.608,   0.712,   0.198, 36,  0,   0.635,   0.224,   0.062,   0.027,   0.020,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:35:00:360, 35304454506280,    0.440,   20.000,  900,   3.033,   1.680,   0.467,   1.176,   0.850,   0.236, 36,  0,   0.630,   0.297,   0.083,   0.049,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:35:00:462, 35304742106456,    0.543,    8.000,  800,   2.440,   1.930,   0.536,   0.629,   0.914,   0.254, 36,  0,   0.698,   0.369,   0.102,   0.008,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:35:00:576, 35305062486430,    0.657,    8.000,  800,   2.386,   2.202,   0.612,   0.618,   0.985,   0.274, 36,  0,   0.633,   0.441,   0.123,   0.007,   0.027,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:35:00:682, 35305358519689,    0.762,    7.000,  800,   2.282,   2.442,   0.678,   0.537,   1.042,   0.289, 36,  0,   0.643,   0.509,   0.141,   0.016,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:35:00:796, 35305679407614,    0.877,    6.000,  800,   2.210,   2.695,   0.749,   0.473,   1.096,   0.304, 36,  0,   0.654,   0.584,   0.162,   0.000,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:35:00:900, 35305970845967,    0.980,    9.000,  900,   2.409,   2.945,   0.818,   0.692,   1.167,   0.324, 36,  0,   0.616,   0.648,   0.180,   0.000,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:35:01:011, 35306282869597,    1.092,    8.000,  800,   2.331,   3.204,   0.890,   0.600,   1.234,   0.343, 36,  0,   0.678,   0.723,   0.201,   0.000,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:35:01:120, 35306589944806,    1.201,    4.000,  800,   2.022,   3.425,   0.951,   0.336,   1.271,   0.353, 36,  0,   0.596,   0.788,   0.219,   0.000,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:35:01:229, 35306896323856,    1.310,    7.000,  900,   2.287,   3.675,   1.021,   0.571,   1.333,   0.370, 36,  0,   0.590,   0.852,   0.237,   0.000,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:35:01:351, 35307238296380,    1.432,   51.000, 1500,   4.260,   4.193,   1.165,   2.359,   1.620,   0.450, 38,  0,   0.817,   0.952,   0.264,   0.041,   0.034,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
