System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:36:37:168, 35576293490302,    0.105,   16.000, 2800,   5.269,   0.555,   0.154,   3.374,   0.355,   0.099, 38,  0,   0.617,   0.065,   0.018,   0.032,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:36:37:287, 35576627465116,    0.224,   16.000,  900,   5.033,   1.154,   0.320,   3.104,   0.724,   0.201, 37,  0,   0.635,   0.141,   0.039,   0.074,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:36:37:387, 35576908918998,    0.324,    8.000,  800,   2.513,   1.405,   0.390,   0.678,   0.792,   0.220, 36,  0,   0.670,   0.208,   0.058,   0.063,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:36:37:502, 35577229876672,    0.439,    8.000,  900,   2.335,   1.672,   0.465,   0.571,   0.858,   0.238, 36,  0,   0.617,   0.278,   0.077,   0.020,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:36:37:604, 35577515798965,    0.541,   14.000,  800,   2.784,   1.956,   0.543,   0.976,   0.957,   0.266, 36,  0,   0.711,   0.351,   0.097,   0.025,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:36:37:711, 35577817782894,    0.648,    8.000,  800,   2.394,   2.213,   0.615,   0.594,   1.021,   0.284, 36,  0,   0.636,   0.419,   0.116,   0.007,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:36:37:825, 35578137780916,    0.762,    6.000,  800,   2.216,   2.466,   0.685,   0.482,   1.076,   0.299, 36,  0,   0.621,   0.490,   0.136,   0.003,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:36:37:929, 35578429580203,    0.866,    7.000,  800,   2.281,   2.703,   0.751,   0.551,   1.133,   0.315, 36,  0,   0.664,   0.559,   0.155,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:36:38:038, 35578735775220,    0.975,    9.000,  800,   2.423,   2.967,   0.824,   0.678,   1.207,   0.335, 35,  0,   0.638,   0.628,   0.175,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:36:38:151, 35579053654886,    1.088,    4.000,  800,   2.007,   3.194,   0.887,   0.339,   1.245,   0.346, 36,  0,   0.589,   0.695,   0.193,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
